iter	RMSE
0	9.010268156
1	8.650967763
2	8.291377012
3	7.964538405
4	7.691450255
5	7.448913104
6	7.228228368
7	7.007838043
8	6.829899082
9	6.669715969
10	6.512500368
11	6.364239743
12	6.246263657
13	6.111059521
14	6.007787654
15	5.886900125
16	5.780173081
17	5.712667226
18	5.630583186
19	5.553977716
20	5.488314322
21	5.423942146
22	5.369160582
23	5.322229505
24	5.282508844
25	5.237504718
26	5.190184275
27	5.156877048
28	5.122504419
29	5.096260128
30	5.053540427
31	5.032692262
32	4.993442552
33	4.957249207
34	4.94132794
35	4.917107082
36	4.901931775
37	4.867806567
38	4.854461495
39	4.828180984
40	4.81406193
41	4.803249515
42	4.77124063
43	4.762296709
44	4.740669544
45	4.703841697
46	4.69176176
47	4.679381517
48	4.665614991
49	4.657735544
50	4.648691899
51	4.642208342
52	4.631946797
53	4.601607991
54	4.596822499
55	4.5915711
56	4.56188615
57	4.557605195
58	4.54289743
59	4.526095117
60	4.51947581
61	4.509365606
62	4.502401846
63	4.495675808
64	4.486415509
65	4.474926706
66	4.461911567
67	4.442445433
68	4.434465346
69	4.428045411
70	4.421625575
71	4.416063044
72	4.413501324
73	4.40307678
74	4.401414032
75	4.396347006
76	4.387119881
77	4.384620967
78	4.38048285
79	4.379237175
80	4.377546297
81	4.374402248
82	4.369240076
83	4.364283535
84	4.359768147
85	4.356377553
86	4.352793266
87	4.34888746
88	4.336733144
89	4.335579168
90	4.333329835
91	4.330692387
92	4.324050219
93	4.320729626
94	4.315039099
95	4.309353659
96	4.308509915
97	4.303144038
98	4.301668452
99	4.299980108
100	4.298560638
101	4.292639525
102	4.288670427
103	4.287322777
104	4.285191064
105	4.279584443
106	4.277831695
107	4.272622279
108	4.269084015
109	4.266951201
110	4.264594845
111	4.25966971
112	4.25790143
113	4.252561007
114	4.244206881
115	4.242420884
116	4.240788489
117	4.239028326
118	4.234616292
119	4.227272368
120	4.224564257
121	4.223459369
122	4.221735162
123	4.220779583
124	4.219097195
125	4.217827017
126	4.216407018
